Message,Label
nhà ngập hết pin,Critical
"nhà có người gà và trẻ em, không thoát dc",Critical
"đang trên noc nhà, nhà 5 người k chạy dc",Low
có bà bầu và trẻ nhỏ lên cứu với,Critical
"Nhà tôi bị ngập rồi, tôi cần phải di chuyển đến nơi an toàn hơn",Critical
Tôi bị mắc kẹt trong nhà,Critical
Tôi đang ở trên mái nhà,High
Nhà tôi sắp bị sập,Low
"Nước lũ đang dâng cao, tôi không thể ra ngoài",Critical
Nhà tôi hết nước sạch rồi,High
"Nhà tôi bị hư hỏng nặng, tôi cần hỗ trợ",Medium
"Mất điện rồi, tôi cần đèn pin",Medium
Tôi cần di chuyển đến nơi an toàn,High
Nước lũ đang đe dọa tính mạng tôi,Critical
"Tôi cần hỗ trợ y tế, giúp tôi",Low
Tôi đang tát nước ra khỏi nhà,Low
"Tôi bị mắc kẹt trong xe, cứu tôi",Critical
"Tôi cần hỗ trợ tìm người thân, tôi đã mất liên lạc với họ rồi",Medium
"Tôi cần thức ăn, giúp tôi",Low
"Tôi cần hỗ trợ tâm lý, giúp tôi",Medium
Nhà tôi bị sập rồi,Low
"Tôi cần giúp đỡ, nước lũ đang dâng",Critical
"Tôi bị cô lập, cần hỗ trợ",Low
"Tôi cần hỗ trợ sửa chữa nhà, giúp tôi với",Low
"Tôi cần nước uống, giúp tôi",High
Nước lũ đang tràn vào nhà tôi,Critical
"Tôi cần hỗ trợ di dời, giúp tôi",High
"Tôi bị thương nặng, tôi cần cấp cứu",Critical
"Cứu tôi, tôi đang ở trong nhà tắm",Critical
"Nhà tôi bị ngập rồi, tôi cằn phải di chuyển đến nơi an toàn hơn",Critical
Tôi bị mắt kẹt trong nhà,Critical
Tôi đang ỡ trên mái nhà,High
Nhà tôi sấp bị sập,Low
"Nước lũ đang dâng cao, tôi không thể ra ngoài",Critical
Nhà tôi hết nước sạch rồii,High
Nhà tôi bị hư hỏng nặng,Medium
"Mất điện rồi, tôi cần đèn bin",Medium
Tôi cần di chuyển đến nơi an toàn,High
Nước lũ đan đe dọa tính mạng tôi,Critical
"Tôi cần hỗ trợ y tế, giúp tôi",Low
Tôi đang tác nước ra khỏi nhà,Low
"Tui bị mắc kẹt trông xe, cứu tôi",Critical
"Tôi cần hỗ trợ tìm người thân, tôi đã mất liên lạc với họ rồi",Medium
"Tui cần thức ăn, giúp tôi",Low
"Tôi cần hỗ trợ tâm lý, giúp tôi",Medium
Nhà tôi bị xập rồi,Low
"Tôi cần giúp đỡ, nước lũ đang dân",Critical
"Tui bị cô lập, cần hổ trợ",Low
"Tôi cần hỗ trợ sữa chữa nhà, giúp tôi với",Low
"Tôi cần nước uống, giúp tôi",High
Nước lũ đang tràn vào nhà tôi,Critical
"Tôi cần hỗ trợ di chuyển, giúp tôi",High
"Tôi bị thương nặng, tôi cần cấp cứu",Critical
"Cứu tôi , tôi kẹt ở trong nhà",Critical
Cứu Nước dâng quá nhanh,Critical
Chúng tôi bị mắc kẹt trên mái nhà.,Critical
Xin hãy gửi thuyền cứu hộ ngay.,Critical
Cần người đưa chúng tôi ra khỏi đây.,Low
Lũ lớn Nhà sắp sập rồi,Critical
Trôi dạt Cần phao hoặc dây.,Medium
Có người bị thương nặng ở đây.,Critical
Xin cung cấp vị trí chính xác của tôi.,Low
Không còn chỗ an toàn. Cứu,Critical
Sập nhà Cần đội tìm kiếm.,Medium
"Gia đình 5 người, kẹt tại gác mái",Critical
có 3 trẻ em và người già.,High
Cầu cứu . Không có lối thoát.,Critical
